skill,category,type
Python,Languages,Technical
Java,Languages,Technical
JavaScript,Languages,Technical
TypeScript,Languages,Technical
C++,Languages,Technical
C#,Languages,Technical
Ruby,Languages,Technical
Go,Languages,Technical
Rust,Languages,Technical
PHP,Languages,Technical
R,Languages,Technical
Swift,Languages,Technical
Kotlin,Languages,Technical
Scala,Languages,Technical
MATLAB,Languages,Technical
SQL,Languages,Technical
HTML,Languages,Technical
CSS,Languages,Technical
Bash,Languages,Technical
PowerShell,Languages,Technical
Julia,Languages,Technical
Perl,Languages,Technical
Haskell,Languages,Technical
Objective-C,Languages,Technical
Solidity,Languages,Technical
AWS,Cloud,Technical
Azure,Cloud,Technical
GCP,Cloud,Technical
Heroku,Cloud,Technical
DigitalOcean,Cloud,Technical
Cloudflare,Cloud,Technical
OpenStack,Cloud,Technical
Terraform,DevOps,Technical
Ansible,DevOps,Technical
Docker,DevOps,Technical
Kubernetes,DevOps,Technical
Jenkins,DevOps,Technical
Git,DevOps,Technical
GitHub,DevOps,Technical
GitLab,DevOps,Technical
Bitbucket,DevOps,Technical
CircleCI,DevOps,Technical
GitHub Actions,DevOps,Technical
PostgreSQL,Databases,Technical
MySQL,Databases,Technical
SQLite,Databases,Technical
Oracle,Databases,Technical
SQL Server,Databases,Technical
MongoDB,Databases,Technical
Redis,Databases,Technical
Cassandra,Databases,Technical
Neo4j,Databases,Technical
Elasticsearch,Databases,Technical
DynamoDB,Databases,Technical
MariaDB,Databases,Technical
Firebase,Databases,Technical
Snowflake,Databases,Technical
Redshift,Databases,Technical
BigQuery,Databases,Technical
React,WebFrameworks,Technical
Angular,WebFrameworks,Technical
Vue,WebFrameworks,Technical
Next.js,WebFrameworks,Technical
Svelte,WebFrameworks,Technical
Express,WebFrameworks,Technical
Node.js,WebFrameworks,Technical
Django,WebFrameworks,Technical
Flask,WebFrameworks,Technical
FastAPI,WebFrameworks,Technical
Spring Boot,WebFrameworks,Technical
ASP.NET,WebFrameworks,Technical
Laravel,WebFrameworks,Technical
Ruby on Rails,WebFrameworks,Technical
TensorFlow,MachineLearning,Technical
PyTorch,MachineLearning,Technical
Keras,MachineLearning,Technical
Scikit-Learn,MachineLearning,Technical
Pandas,MachineLearning,Technical
NumPy,MachineLearning,Technical
SciPy,MachineLearning,Technical
Matplotlib,MachineLearning,Technical
Seaborn,MachineLearning,Technical
Plotly,MachineLearning,Technical
NLTK,MachineLearning,Technical
Spacy,MachineLearning,Technical
HuggingFace,MachineLearning,Technical
Transformers,MachineLearning,Technical
LangChain,MachineLearning,Technical
Milvus,MachineLearning,Technical
Pinecone,MachineLearning,Technical
OpenCV,MachineLearning,Technical
YOLO,MachineLearning,Technical
MLflow,MachineLearning,Technical
Airflow,MachineLearning,Technical
Spark,MachineLearning,Technical
Hadoop,MachineLearning,Technical
Tableau,DataAnalytics,Technical
PowerBI,DataAnalytics,Technical
Looker,DataAnalytics,Technical
Excel,DataAnalytics,Technical
Grafana,DataAnalytics,Technical
Kibana,DataAnalytics,Technical
Splunk,DataAnalytics,Technical
Datadog,DataAnalytics,Technical
Android,Mobile,Technical
iOS,Mobile,Technical
Flutter,Mobile,Technical
React Native,Mobile,Technical
JUnit,Testing,Technical
PyTest,Testing,Technical
Selenium,Testing,Technical
Cypress,Testing,Technical
Playwright,Testing,Technical
Postman,Testing,Technical
JMeter,Testing,Technical
Linux,OS,Technical
Windows Server,OS,Technical
macOS,OS,Technical
Unix,OS,Technical
Ubuntu,OS,Technical
Cryptography,Security,Technical
SSL/TLS,Security,Technical
OAuth,Security,Technical
SAML,Security,Technical
JWT,Security,Technical
Firewall,Security,Technical
Wireshark,Security,Technical
Nmap,Security,Technical
Metasploit,Security,Technical
Burp Suite,Security,Technical
OWASP,Security,Technical
Penetration Testing,Security,Technical
Vulnerability Assessment,Security,Technical
Communication,SoftSkills,Soft
Leadership,SoftSkills,Soft
Teamwork,SoftSkills,Soft
Collaboration,SoftSkills,Soft
Problem Solving,SoftSkills,Soft
Critical Thinking,SoftSkills,Soft
Time Management,SoftSkills,Soft
Conflict Resolution,SoftSkills,Soft
Adaptability,SoftSkills,Soft
Creativity,SoftSkills,Soft
Presentation,SoftSkills,Soft
Public Speaking,SoftSkills,Soft
Negotiation,SoftSkills,Soft
Mentoring,SoftSkills,Soft
Project Management,SoftSkills,Soft
Product Management,SoftSkills,Soft
Technical Writing,SoftSkills,Soft
Agile,Agile,Soft
Scrum,Agile,Soft
Kanban,Agile,Soft
Jira,Agile,Soft
Confluence,Agile,Soft
Trello,Agile,Soft
Asana,Agile,Soft
Slack,Agile,Soft
Systems Architecture,GeneralIT,Technical
Microservices,GeneralIT,Technical
REST,GeneralIT,Technical
SOAP,GeneralIT,Technical
GraphQL,GeneralIT,Technical
gRPC,GeneralIT,Technical
WebSockets,GeneralIT,Technical
RabbitMQ,GeneralIT,Technical
Kafka,GeneralIT,Technical
TCP/IP,GeneralIT,Technical
DNS,GeneralIT,Technical
DHCP,GeneralIT,Technical
SSH,GeneralIT,Technical
SFTP,GeneralIT,Technical
VPC,GeneralIT,Technical
IAM,GeneralIT,Technical
S3,GeneralIT,Technical
EC2,GeneralIT,Technical
Lambda,GeneralIT,Technical
CloudWatch,GeneralIT,Technical
Route53,GeneralIT,Technical
Athena,GeneralIT,Technical
Glue,GeneralIT,Technical
Redshift,GeneralIT,Technical
DynamoDB,GeneralIT,Technical
RDS,GeneralIT,Technical
Kinesis,GeneralIT,Technical
EMR,GeneralIT,Technical
SageMaker,GeneralIT,Technical
ECS,GeneralIT,Technical
EKS,GeneralIT,Technical
Fargate,GeneralIT,Technical
CloudFront,GeneralIT,Technical
API Gateway,GeneralIT,Technical
Cognito,GeneralIT,Technical
DynamoDB Accelerator,GeneralIT,Technical
ElastiCache,GeneralIT,Technical
